Class::Test , 114::NullReturnValsMutator::69 , 125::NullReturnValsMutator::7 , 170::ConditionalsBoundaryMutator::206 , 156::MathMutator::108 , 157::MathMutator::118 , 163::MathMutator::161 , 163::MathMutator::164 , 163::MathMutator::165 , 164::MathMutator::171 , 165::MathMutator::179 , 165::MathMutator::180 , 165::MathMutator::181 , 166::MathMutator::189 , 166::MathMutator::190 , 166::MathMutator::191 , 175::MathMutator::223 , 176::MathMutator::233 , 176::MathMutator::234 , 176::MathMutator::238 , 176::MathMutator::239 , 134::NegateConditionalsMutator::10 , 136::NegateConditionalsMutator::21 , 136::NegateConditionalsMutator::26 , 144::NegateConditionalsMutator::61 , 170::NegateConditionalsMutator::206 , 138::VoidMethodCallMutator::31 , 139::VoidMethodCallMutator::36 , 141::VoidMethodCallMutator::42 , 142::VoidMethodCallMutator::51 , 146::VoidMethodCallMutator::66 , 147::VoidMethodCallMutator::71 , 172::VoidMethodCallMutator::211 , 173::VoidMethodCallMutator::216 , 175::VoidMethodCallMutator::224 , 176::VoidMethodCallMutator::241 , 306::ConditionalsBoundaryMutator::55 , 315::ConditionalsBoundaryMutator::101 , 319::ConditionalsBoundaryMutator::120 , 326::ConditionalsBoundaryMutator::144 , 304::NegateConditionalsMutator::37 , 306::NegateConditionalsMutator::47 , 306::NegateConditionalsMutator::49 , 306::NegateConditionalsMutator::55 , 315::NegateConditionalsMutator::95 , 315::NegateConditionalsMutator::101 , 319::NegateConditionalsMutator::120 , 326::NegateConditionalsMutator::144 , 339::NegateConditionalsMutator::172 , 339::NegateConditionalsMutator::174 , 344::NegateConditionalsMutator::182 , 344::NegateConditionalsMutator::184 , 301::VoidMethodCallMutator::32 , 335::VoidMethodCallMutator::163 , 330::EmptyObjectReturnValsMutator::148 , 341::EmptyObjectReturnValsMutator::178 , 348::EmptyObjectReturnValsMutator::194 , 233::ConditionalsBoundaryMutator::103 , 255::ConditionalsBoundaryMutator::233 , 236::IncrementsMutator::117 , 251::IncrementsMutator::210 , 252::IncrementsMutator::217 , 257::IncrementsMutator::238 , 264::IncrementsMutator::274 , 268::IncrementsMutator::291 , 273::IncrementsMutator::324 , 275::IncrementsMutator::336 , 243::MathMutator::162 , 250::MathMutator::201 , 250::MathMutator::204 , 255::MathMutator::232 , 260::MathMutator::248 , 263::MathMutator::265 , 263::MathMutator::268 , 207::NegateConditionalsMutator::5 , 208::NegateConditionalsMutator::12 , 220::NegateConditionalsMutator::48 , 223::NegateConditionalsMutator::64 , 233::NegateConditionalsMutator::103 , 241::NegateConditionalsMutator::156 , 247::NegateConditionalsMutator::185 , 255::NegateConditionalsMutator::233 , 260::NegateConditionalsMutator::249 , 214::VoidMethodCallMutator::32 , 282::NullReturnValsMutator::348 
PolygonsSetTest::testBug20040520 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
PolygonsSetTest::testBug20041003 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 
PolygonsSetTest::testConcentric , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
PolygonsSetTest::testDifference , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
PolygonsSetTest::testDisjointPolygons , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
PolygonsSetTest::testEmptyDifference , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
PolygonsSetTest::testHole , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
PolygonsSetTest::testIntersection , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
PolygonsSetTest::testOppositeHyperplanes , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
PolygonsSetTest::testSimplyConnected , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 
